日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2012/5/14,自營商,269294,25691,264771,26242,4523,-551,301588,14406,443188,13479,-141600,927
2012/5/14,投信,895,521,723,1032,172,-511,1298,1748,3847,2378,-2549,-630
2012/5/14,外資及陸資,88423,63872,81112,55501,7311,8371,318545,48987,333542,51370,-14997,-2383
2012/5/15,自營商,420875,43662,423794,45257,-2919,-1595,313040,15125,458333,15795,-145293,-670
2012/5/15,投信,1194,1665,1180,1576,14,89,1249,1678,3784,2216,-2535,-538
2012/5/15,外資及陸資,133362,75951,113582,73960,19780,1991,343774,48900,340707,49233,3067,-333
2012/5/16,自營商,424097,49898,469714,53793,-45617,-3895,125340,6260,147553,10772,-22213,-4512
2012/5/16,投信,1783,1433,1004,1229,779,204,1233,1627,1562,1964,-329,-338
2012/5/16,外資及陸資,133815,75497,154957,81721,-21142,-6224,202279,35562,228495,36100,-26216,-537
2012/5/17,自營商,166103,25120,162744,26184,3359,-1064,151264,7385,170103,13049,-18839,-5663
2012/5/17,投信,99,144,379,360,-280,-216,1253,1671,1862,2229,-609,-557
2012/5/17,外資及陸資,77783,39580,72822,39369,4961,211,220944,34143,242556,34358,-21612,-215
2012/5/18,自營商,279369,36653,275729,40171,3640,-3518,188857,7176,204035,16101,-15178,-8926
2012/5/18,投信,402,366,629,406,-227,-40,1305,1679,2141,2263,-836,-584
2012/5/18,外資及陸資,112289,56279,125356,54545,-13067,1734,237241,37223,271722,36089,-34481,1134
2012/5/21,自營商,166749,19074,167563,19145,-814,-71,206690,7469,223513,16569,-16823,-9100
2012/5/21,投信,38,55,165,228,-127,-173,1301,1692,2264,2454,-963,-761
2012/5/21,外資及陸資,71443,39457,64021,33760,7422,5697,246920,36262,274900,29311,-27980,6951
2012/5/22,自營商,156567,21533,155150,19260,1417,2273,220950,8659,236461,15588,-15511,-6930
2012/5/22,投信,169,236,81,108,88,128,1365,1789,2240,2428,-875,-639
2012/5/22,外資及陸資,57940,27847,67540,31604,-9600,-3757,253319,37256,290578,33889,-37259,3367
2012/5/23,自營商,228576,29766,221152,30478,7424,-712,250173,9351,258209,16812,-8036,-7461
2012/5/23,投信,218,311,803,163,-585,148,1374,1777,2834,2259,-1460,-483
2012/5/23,外資及陸資,77132,37618,86260,37070,-9128,548,263882,36836,309660,33136,-45778,3700
2012/5/24,自營商,220549,30580,213713,31614,6836,-1034,268048,9735,269290,18218,-1242,-8483
2012/5/24,投信,656,354,935,163,-279,191,1386,1793,3125,2085,-1739,-292
2012/5/24,外資及陸資,62397,34381,83833,36802,-21436,-2421,255882,36099,322694,34819,-66812,1280
2012/5/25,自營商,227805,30524,232273,31744,-4468,-1220,286898,10376,292239,19924,-5341,-9548
2012/5/25,投信,109,146,274,356,-165,-210,1395,1786,3299,2286,-1904,-500
2012/5/25,外資及陸資,61166,35296,74100,37669,-12934,-2373,257222,36965,335515,38173,-78293,-1207
2012/5/28,自營商,188379,25248,184985,25470,3394,-222,306695,10181,309290,20100,-2595,-9919
