Date,Open,High,Low,Close
2012-05-14,7389.89,7412.59,7346.86,7377.18
2012-05-15,7328.74,7396.42,7291.44,7395.64
2012-05-16,7376.71,7399.83,7234.57,7234.57
2012-05-17,7304.4,7356.77,7274.32,7356.77
2012-05-18,7252.24,7253.1,7149.36,7151.19
2012-05-21,7164.9,7220.1,7164.9,7192.23
2012-05-22,7257.96,7274.89,7232.52,7274.89
2012-05-23,7213.6,7213.6,7130.52,7147.75
2012-05-24,7155.74,7190.55,7090.47,7124.89
2012-05-25,7116.33,7139.76,7066.39,7071.63
2012-05-28,7067.55,7136.0,7047.32,7136.0
2012-05-29,7179.58,7349.85,7178.67,7342.29
2012-05-30,7331.64,7331.64,7222.88,7261.8
2012-05-31,7184.91,7301.5,7132.8,7301.5
2012-06-01,7213.69,7218.75,7106.09,7106.09
2012-06-04,6907.13,6937.33,6857.35,6894.66
2012-06-05,6988.52,7037.57,6967.31,7000.45
2012-06-06,7037.92,7076.28,7004.4,7056.15
2012-06-07,7133.78,7139.16,7052.36,7080.31
2012-06-08,7033.51,7063.08,6979.82,6999.65
2012-06-11,7081.72,7137.98,7081.72,7120.23
2012-06-12,7036.44,7076.37,7026.27,7072.08
2012-06-13,7103.2,7109.34,7059.85,7088.83
2012-06-14,7096.86,7114.07,7070.36,7075.1
2012-06-15,7094.0,7166.08,7085.92,7155.83
2012-06-18,7263.81,7302.82,7262.8,7281.5
2012-06-19,7286.54,7288.98,7239.42,7273.13
2012-06-20,7309.23,7334.63,7281.74,7334.63
2012-06-21,7301.79,7311.39,7259.11,7279.05
2012-06-22,7210.8,7229.73,7185.31,7222.05
2012-06-25,7222.61,7222.61,7157.9,7166.38
2012-06-26,7145.22,7156.99,7117.17,7137.93
2012-06-27,7137.99,7199.32,7127.98,7183.01
2012-06-28,7230.47,7236.71,7165.34,7169.61
2012-06-29,7183.45,7296.28,7177.59,7296.28
2012-07-02,7332.09,7359.99,7318.22,7345.16
2012-07-03,7363.37,7431.7,7357.67,7418.36
2012-07-04,7414.56,7442.55,7397.8,7422.59
2012-07-05,7412.55,7426.62,7376.45,7387.78
2012-07-06,7392.78,7406.62,7328.03,7368.59
2012-07-09,7301.72,7333.28,7293.11,7309.96
2012-07-10,7305.76,7328.75,7228.88,7251.35
2012-07-11,7207.08,7261.59,7202.38,7257.91
2012-07-12,7240.88,7242.78,7130.93,7130.93
2012-07-13,7113.14,7153.85,7103.71,7104.27
2012-07-16,7135.94,7147.38,7085.38,7090.04
2012-07-17,7056.8,7133.05,7051.76,7127.0
2012-07-18,7132.65,7132.65,7046.09,7049.05
2012-07-19,7109.33,7163.75,7098.18,7148.57
2012-07-20,7136.48,7164.68,7130.71,7164.68
2012-07-23,7105.99,7105.99,6996.18,7028.73
2012-07-24,7004.44,7015.76,6968.78,7008.35
2012-07-25,6932.12,7036.95,6922.73,6979.13
2012-07-26,7012.94,7023.98,6963.57,6970.69
2012-07-27,7060.43,7124.49,7045.31,7124.49
2012-07-30,7159.21,7184.31,7146.07,7158.88
2012-07-31,7140.53,7270.49,7140.53,7270.49
2012-08-01,7242.58,7273.62,7223.17,7267.96
2012-08-03,7220.51,7235.63,7186.78,7217.51
2012-08-06,7311.74,7340.56,7276.6,7286.33
2012-08-07,7289.89,7300.99,7265.96,7295.46
2012-08-08,7331.59,7357.42,7302.9,7319.8
2012-08-09,7341.87,7435.0,7341.87,7433.7
2012-08-10,7443.36,7458.23,7409.43,7441.12
2012-08-13,7495.81,7495.81,7423.84,7436.3
2012-08-14,7447.03,7520.65,7447.03,7479.25
2012-08-15,7489.81,7489.81,7442.72,7467.74
2012-08-16,7475.68,7515.02,7456.4,7490.21
2012-08-17,7502.85,7516.71,7467.92,7467.92
2012-08-20,7482.05,7485.16,7422.44,7431.91
2012-08-21,7459.5,7536.32,7459.5,7506.81
2012-08-22,7495.87,7501.26,7461.07,7496.58
2012-08-23,7486.58,7519.03,7475.09,7505.17
2012-08-24,7479.57,7494.36,7454.85,7477.53
2012-08-27,7504.45,7523.54,7457.75,7468.22
2012-08-28,7440.56,7445.08,7359.83,7361.94
2012-08-29,7379.48,7405.3,7368.4,7391.15
2012-08-30,7372.06,7404.94,7360.1,7371.44
2012-08-31,7363.25,7406.52,7363.25,7397.06
2012-09-03,7430.4,7462.15,7389.68,7450.53
2012-09-04,7471.31,7479.01,7440.03,7451.35
2012-09-05,7429.93,7429.93,7364.68,7367.44
2012-09-06,7383.04,7390.76,7313.56,7326.72
2012-09-07,7434.43,7446.1,7409.88,7424.91
2012-09-10,7435.34,7482.74,7435.34,7482.74
2012-09-11,7497.23,7509.16,7468.18,7485.13
2012-09-12,7518.68,7571.42,7515.04,7570.45
2012-09-13,7577.16,7594.76,7557.28,7578.8
2012-09-14,7660.38,7738.05,7660.38,7738.05
2012-09-17,7768.45,7778.06,7725.9,7762.22
2012-09-18,7740.57,7757.04,7714.43,7734.26
2012-09-19,7739.52,7781.91,7726.35,7781.91
2012-09-20,7781.81,7785.47,7704.61,7727.55
2012-09-21,7763.29,7765.01,7737.03,7754.59
2012-09-24,7760.33,7781.55,7706.95,7768.3
2012-09-25,7766.44,7789.39,7720.44,7734.13
2012-09-26,7702.77,7708.9,7649.5,7669.63
2012-09-27,7665.89,7699.23,7658.51,7683.8
2012-09-28,7704.23,7721.29,7665.35,7715.16
2012-10-01,7702.12,7707.89,7657.88,7675.72
2012-10-02,7703.1,7726.61,7683.03,7718.68
2012-10-03,7727.48,7727.53,7680.98,7684.63
2012-10-04,7678.48,7689.08,7621.38,7682.34
2012-10-05,7694.05,7721.93,7675.48,7690.65
2012-10-08,7707.97,7707.97,7612.87,7615.89
2012-10-09,7593.58,7631.96,7590.75,7592.01
2012-10-11,7494.58,7501.22,7448.06,7451.72
2012-10-12,7456.51,7478.51,7398.8,7437.04
2012-10-15,7433.22,7433.68,7392.61,7418.9
2012-10-16,7437.79,7471.02,7437.79,7471.02
2012-10-17,7505.41,7518.36,7450.29,7464.4
2012-10-18,7474.07,7495.45,7448.06,7465.41
2012-10-19,7443.61,7449.22,7402.66,7408.76
2012-10-22,7333.24,7373.04,7310.79,7373.04
2012-10-23,7367.46,7375.5,7326.39,7337.48
2012-10-24,7288.14,7348.45,7274.88,7314.88
2012-10-25,7329.5,7339.21,7260.0,7262.08
2012-10-26,7291.98,7298.48,7132.77,7134.06
2012-10-29,7147.2,7165.1,7091.19,7091.67
2012-10-30,7131.15,7206.35,7131.15,7182.59
2012-10-31,7220.02,7222.84,7139.17,7166.05
2012-11-01,7141.97,7188.23,7050.05,7179.64
2012-11-02,7232.2,7235.13,7199.57,7210.47
2012-11-05,7200.77,7216.3,7161.7,7185.36
2012-11-06,7223.02,7236.68,7165.58,7236.68
2012-11-07,7249.75,7287.18,7220.04,7287.18
2012-11-08,7229.0,7242.63,7190.99,7242.63
2012-11-09,7206.16,7302.27,7170.29,7293.22
2012-11-12,7303.93,7307.59,7264.02,7267.75
2012-11-13,7262.65,7262.65,7129.87,7136.05
2012-11-14,7141.58,7165.86,7107.78,7159.75
2012-11-15,7132.02,7158.74,7066.28,7143.84
2012-11-16,7125.24,7194.28,7108.84,7130.07
2012-11-19,7134.71,7162.12,7125.21,7129.04
2012-11-20,7179.1,7189.1,7141.16,7145.77
2012-11-21,7150.24,7169.4,7061.87,7088.49
2012-11-22,7116.8,7134.78,7097.38,7105.76
2012-11-23,7148.97,7326.01,7148.97,7326.01
2012-11-26,7372.38,7407.37,7370.28,7407.37
2012-11-27,7408.74,7436.78,7384.97,7430.2
2012-11-28,7418.42,7434.93,7385.91,7434.93
